IGM	CodigoMuestra	NombreEstacion	EstacionCompanero	SimboloUG	UGMapa	SubUnidad	DescripcionMuestra	NombreRoca	Localizacion	Plancha	Norte	Este	Altura	SistemaCoordenadas	Fecha	Proyecto	NombreColector	ExisteMuestra	TipoAnalisis
5079465	ECC0007Pb	ECC0007	PAR0015	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita fanerítica media a gruesa, leucocratica, inequigranular, con nidos de anfibol. Atravezada por diques pegmatíticos	Roca ígnea, cuarzodiorita	Recorrido Minca hacía la vereda San Cayetano, Casa Elemento, Minca. Carreteable Casa Elemento	11IVD	1720274	994977	1127	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079466	ECC0007Pc	ECC0007	PAR0015	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita fanerítica media a gruesa, leucocratica, inequigranular, con nidos de anfibol. Atravezada por diques pegmatíticos	Roca ígnea, cuarzodiorita	Recorrido Minca hacía la vereda San Cayetano, Casa Elemento, Minca. Carreteable Casa Elemento	11IVD	1720274	994977	1127	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079467	ECC0012P	ECC0012	PAR0021	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita alterada con abundante biotita, faneritica media	Roca ígnea, cuarzodiorita	Recorrido Minca hacía la vereda San Cayetano, Casa Elemento, Minca. Carreteable Casa Elemento	11IVD	1725558	995471	524	Magna Colombia Bogotá	11/11/2019	Investigación Maritima, Costera e Insular			DatacionesRadiometricas
5079468	ECC0013Pa	ECC0013	PAR0022	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita, faneritica gruesa, con xenolitos maficos (anfibol?)	Cuarzodiorita	Vía Vereda La Trigrera	11IVD	1725798	994958	417	Magna Colombia Bogotá	11/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079469	ECC0013Pb	ECC0013	PAR0022	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita, faneritica gruesa, con xenolitos maficos (anfibol?)	Cuarzodiorita	Vía Vereda La Trigrera	11IVD	1725798	994958	417	Magna Colombia Bogotá	11/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079470	ECC0014P	ECC0014	PAR0023	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita, faneritica gruesa, color verdoso	Cuarzodiorita	Vía Vereda La Trigrera	11IVD	1726070	994962	405	Magna Colombia Bogotá	11/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079471	ECC0018P	ECC0018	PAR0026	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita levemente foliada	Cuarzodiorita	Carreteable que se desprende de la carretera central hacia Vda El Porvenir	11IVD	1728517	993162	222	Magna Colombia Bogotá	12/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079472	ECC0019P	ECC0019	PAR0027	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita, fanerítica media con mayor contenido de anfibol que de biotita. Presencia de xenolitos máficos	Cuarzodiorita	Carreteable que se desprende de la carretera central hacia Vda El Porvenir	11IVD	1728824	992840	176	Magna Colombia Bogotá	12/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079473	ECC0020P	ECC0020	PAR0028	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita faneritica media a gruesa.	Cuarzodiorita	Carreteable que se desprende de la carretera central hacia Vda El Porvenir	11IVD	1729294	998191	393	Magna Colombia Bogotá	12/11/2019	Investigación Maritima, Costera e Insular			DatacionesRadiometricas
5079474	ECC0021Pa	ECC0021	PAR0029	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita atravezada por diques pegmatíticos constituidos por cuarzo, plagioclasa y moscovita. La plagioclasa es de color verde manzana.	Cuarzodiorita	Carreteable que se desprende de la carretera central hacia Vda El Porvenir	11IVD	1729137	998133	376	Magna Colombia Bogotá	13/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079475	ECC0021Pb	ECC0021	PAR0029	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita atravezada por diques pegmatíticos constituidos por cuarzo, plagioclasa y moscovita. La plagioclasa es de color verde manzana.	Cuarzodiorita	Carreteable que se desprende de la carretera central hacia Vda El Porvenir	11IVD	1729137	998133	376	Magna Colombia Bogotá	13/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079476	ECC0022P	ECC0022	PAR0030	Qfla	Depósito fluviolacustre actual		Cuarzodiorita , fanerítica gruesa, muy diaclasado la mayoria con dirección NE-SW-	Cuarzodiorita	Pozo del Amor	11IVB	1730587	998814	322	Magna Colombia Bogotá	13/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079477	ECC0025P	ECC0025	PAR0033	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita , fanerítica gruesa, muy diaclasada y fracturada	Cuarzodiorita	Carreteable paralelo al Río Gaira	11IVD	1727916	988303	49	Magna Colombia Bogotá	14/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079478	ECC0026Pa	ECC0026	PAR0034	Qfla	Depósito fluviolacustre actual		Cuarzodiorita , fanerítica media, diaclasada, ausencia de venas	Cuarzodiorita	Carreteable paralelo al Río Gaira	11IVD	1727916	988303	49	Magna Colombia Bogotá	14/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079479	ECC0026Pb	ECC0026	PAR0034	Qfla	Depósito fluviolacustre actual		Cuarzodiorita , fanerítica media, diaclasada, ausencia de venas	Cuarzodiorita	Río Gaira	11IVD	1727611	988912	55	Magna Colombia Bogotá	14/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079480	ECC0027	ECC0027		Qc	Depósito coluvial		Cuarzodiorita con foliación magmatica, fanerítica gruesa, con xenolitos maficos sin foliacion interna.	Cuarzodiorita	Río Gaira	11IVD	1727538	989088	58	Magna Colombia Bogotá	14/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
